Evaluations;BestFitness;SolutionArray
50;0.0;[3, 4, 4, 1, 2, 2, 2, 3]
100;4.2;[3, 1, 3, 1, 3, 3, 0, 0]
150;5.75;[3, 3, 2, 1, 1, 0, 2, 4]
200;8.0;[3, 3, 3, 1, 0, 2, 0, 3]
250;23.25;[3, 3, 3, 1, 1, 0, 0, 0]
300;23.25;[3, 3, 3, 1, 1, 0, 0, 0]
350;23.25;[3, 3, 3, 1, 1, 0, 0, 0]
400;23.25;[3, 3, 3, 1, 1, 0, 0, 0]
450;162.42857142857142;[3, 3, 3, 1, 1, 1, 0, 0]
500;162.42857142857142;[3, 3, 3, 1, 1, 1, 0, 0]
550;162.42857142857142;[3, 3, 3, 1, 1, 1, 0, 0]
600;162.42857142857142;[3, 3, 3, 1, 1, 1, 0, 0]
650;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
700;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
750;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
800;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
850;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
900;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
950;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
1000;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
1050;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
1100;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
1150;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
1200;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
1250;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
1300;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
1350;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
1400;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
1450;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
1500;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
1550;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
1600;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
1650;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
1700;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
1750;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
1800;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
1850;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
1900;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
1950;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
2000;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
2050;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
2100;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
2150;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
2200;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
2250;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
2300;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
2350;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
2400;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
2450;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
2500;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
2550;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
2600;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
2650;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
2700;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
2750;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
2800;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
2850;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
2900;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
2950;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
3000;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
3050;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
3100;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
3150;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
3200;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
3250;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
3300;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
3350;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
3400;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
3450;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
3500;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
3550;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
3600;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
3650;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
3700;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
3750;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
3800;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
3850;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
3900;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
3950;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
4000;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
4050;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
4100;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
4150;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
4200;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
4250;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
4300;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
4350;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
4400;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
4450;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
4500;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
4550;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
4600;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
4650;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
4700;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
4750;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
4800;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
4850;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
4900;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
4950;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
5000;1942.8;[3, 3, 3, 3, 0, 1, 0, 4]
