Array mascara,Puntuacion
"[1, 1, 1, 1, 1, 1, 0, 0]",-17761.8
"[1, 1, 1, 1, 0, 3, 3, 0]",-2493.2
"[1, 1, 1, 1, 1, 1, 0, 0]",-17761.8
"[1, 1, 1, 1, 1, 0, 1, 3]",-4385.666666666667
"[1, 1, 1, 1, 1, 1, 0, 0]",-14801.5
"[1, 1, 1, 1, 3, 3, 0, 0]",-3661.8
"[1, 1, 1, 1, 1, 0, 0, 3]",-4385.666666666667
"[2, 2, 2, 2, 2, 2, 0, 0]",-681.0
"[1, 1, 1, 1, 1, 1, 0, 0]",-17761.8
"[1, 1, 1, 1, 1, 1, 0, 0]",-17761.8
"[1, 1, 1, 1, 1, 1, 0, 0]",-17761.8
"[2, 2, 2, 2, 2, 2, 0, 3]",-817.2
"[3, 3, 3, 3, 3, 3, 0, 0]",-11367.0
"[1, 1, 1, 1, 1, 1, 0, 2]",-17761.8
"[1, 1, 1, 1, 3, 3, 0, 4]",-3661.8
"[1, 1, 1, 1, 3, 3, 0, 3]",-3051.5
"[3, 3, 3, 3, 0, 1, 0, 0]",-1619.0
"[1, 1, 1, 1, 1, 1, 0, 0]",-14801.5
"[3, 3, 3, 3, 0, 3, 3, 1]",-1619.0
"[1, 1, 1, 1, 1, 0, 3, 1]",-5262.8
"[1, 1, 1, 1, 1, 1, 0, 3]",-14801.5
"[1, 1, 1, 1, 1, 1, 0, 0]",-17761.8
"[3, 3, 3, 3, 0, 1, 0, 0]",-1942.8
"[1, 1, 1, 1, 1, 1, 0, 1]",-17761.8
"[1, 1, 1, 1, 0, 1, 4, 1]",-2493.2
"[3, 3, 3, 3, 3, 3, 0, 0]",-11367.0
"[3, 3, 3, 3, 3, 3, 0, 0]",-11367.0
"[1, 1, 1, 1, 1, 1, 0, 3]",-17761.8
"[3, 3, 3, 3, 3, 3, 0, 0]",-13640.4
"[2, 2, 2, 2, 2, 2, 0, 2]",-681.0
