Iteracion;Puntuacion;Array
0;-817.2;[2, 2, 2, 2, 2, 2, 0, 1]
1;-2428.5;[3, 3, 3, 3, 0, 4, 3, 4]
2;-11367.0;[3, 3, 3, 3, 3, 3, 0, 3]
3;-2428.5;[3, 3, 3, 3, 0, 2, 4, 2]
4;-817.2;[2, 2, 2, 2, 2, 2, 0, 0]
5;-14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
6;-14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
7;-14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
8;-2493.2;[1, 1, 1, 1, 0, 4, 1, 4]
9;-14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
10;-14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
11;-14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
12;-817.2;[2, 2, 2, 2, 2, 2, 0, 4]
13;-59.6;[2, 1, 2, 1, 1, 2, 0, 0]
14;-5262.8;[1, 1, 1, 1, 1, 0, 1, 3]
15;-14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
16;-14801.5;[1, 1, 1, 1, 1, 1, 0, 2]
17;-817.2;[2, 2, 2, 2, 2, 2, 0, 3]
18;-14801.5;[1, 1, 1, 1, 1, 1, 0, 1]
19;-14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
20;-5262.8;[1, 1, 1, 1, 1, 0, 3, 4]
21;-817.2;[2, 2, 2, 2, 2, 2, 0, 4]
22;-14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
23;-14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
24;-307.75;[2, 2, 2, 2, 2, 0, 3, 2]
25;-307.75;[2, 2, 2, 2, 2, 0, 1, 0]
26;-14801.5;[1, 1, 1, 1, 1, 1, 0, 0]
27;-14801.5;[1, 1, 1, 1, 1, 1, 0, 2]
28;-11367.0;[3, 3, 3, 3, 3, 3, 0, 3]
29;-14801.5;[1, 1, 1, 1, 1, 1, 0, 2]
